Item,One,Two,Three,Four,Five
1,0.128,0.006,-0.036,0.849,0.141
2,0.641,-0.086,0.08,0.157,0.38
3,0.765,0.083,0.103,0.088,0.198
4,0.137,0.317,-0.039,0.158,0.748
5,0.17,0.338,0.022,0.232,0.701
6,0.205,0.023,0.506,0.008,0.631
7,0.079,0.085,0.41,0.629,0.317
8,0.213,-0.039,0.745,0.125,0.262
9,0.292,0.224,0.045,0.775,0.058
10,0.781,0.112,0.221,0.168,0.027
11,0.247,0.313,0.738,0.022,-0.114
12,0.418,0.314,0.19,0.473,0.005
13,0.121,0.436,0.72,0.105,-0.027
14,0.431,0.377,0.206,0.29,0.063
15,0.629,0.358,0.238,0.278,0.019
16,0.417,0.463,0.344,0.198,0.283
17,0.342,0.613,0.356,0.091,0.244
18,-0.027,0.804,0.023,0.248,0.128
19,0.52,0.556,0.172,0.076,0.142
20,0.115,0.719,0.229,-0.04,0.333
