"a1";"a3";"a6";"a2";"a4";"a5";"s1";"s3";"s6";"s2";"s4";"s5";"c2";"c4";"c5";"c1";"c3";"c6"
"a1";0;0.008;-0.006;0.125;-0.045;-0.057;-0.007;0.029;-0.004;0.012;0.036;-0.034;-0.003;-0.002;-0.031;-0.009;-0.039;-0.026
"a3";0.008;0;0;0.075;-0.023;-0.054;0.012;-0.014;-0.02;-0.041;-0.012;-0.064;0.047;-0.018;-0.057;-0.038;-0.055;-0.026
"a6";-0.006;0;0;-0.026;-0.003;0.021;0.005;0.024;-0.012;0.072;0.055;-0.039;0.057;0.064;-0.033;0.093;0.035;0.008
"a2";0.125;0.075;-0.026;0;-0.027;-0.055;0.04;0.031;0.043;0.013;0.029;0.008;0.042;0.082;0.087;0.11;0.044;-0.002
"a4";-0.045;-0.023;-0.003;-0.027;0;0.073;-0.018;-0.033;-0.003;0.011;-0.008;0.002;-0.04;-0.033;-0.047;-0.008;-0.086;-0.053
"a5";-0.057;-0.054;0.021;-0.055;0.073;0;0.022;-0.021;-0.049;0.028;-0.023;-0.081;-0.036;0.021;-0.022;0.073;-0.014;-0.05
"s1";-0.007;0.012;0.005;0.04;-0.018;0.022;0;-0.028;0.019;0.024;-0.018;-0.009;0.031;0.046;-0.035;0.05;-0.04;0.009
"s3";0.029;-0.014;0.024;0.031;-0.033;-0.021;-0.028;0;0;-0.009;0.103;-0.025;0.05;0.018;-0.011;0.058;-0.016;0.001
"s6";-0.004;-0.02;-0.012;0.043;-0.003;-0.049;0.019;0;0;-0.037;0.027;-0.023;-0.011;0.018;-0.045;-0.015;-0.063;-0.016
"s2";0.012;-0.041;0.072;0.013;0.011;0.028;0.024;-0.009;-0.037;0;-0.046;0.055;-0.034;0.045;-0.045;-0.008;0.06;-0.064
"s4";0.036;-0.012;0.055;0.029;-0.008;-0.023;-0.018;0.103;0.027;-0.046;0;-0.017;0.098;0.017;0.059;0.083;0.015;0.047
"s5";-0.034;-0.064;-0.039;0.008;0.002;-0.081;-0.009;-0.025;-0.023;0.055;-0.017;0;-0.006;-0.039;-0.058;-0.019;-0.03;-0.052
"c2";-0.003;0.047;0.057;0.042;-0.04;-0.036;0.031;0.05;-0.011;-0.034;0.098;-0.006;0;-0.024;0.006;-0.012;-0.053;0.022
"c4";-0.002;-0.018;0.064;0.082;-0.033;0.021;0.046;0.018;0.018;0.045;0.017;-0.039;-0.024;0;0.012;0.032;-0.027;-0.032
"c5";-0.031;-0.057;-0.033;0.087;-0.047;-0.022;-0.035;-0.011;-0.045;-0.045;0.059;-0.058;0.006;0.012;0;-0.048;-0.032;0.094
"c1";-0.009;-0.038;0.093;0.11;-0.008;0.073;0.05;0.058;-0.015;-0.008;0.083;-0.019;-0.012;0.032;-0.048;0;0.066;-0.024
"c3";-0.039;-0.055;0.035;0.044;-0.086;-0.014;-0.04;-0.016;-0.063;0.06;0.015;-0.03;-0.053;-0.027;-0.032;0.066;0;-0.023
"c6";-0.026;-0.026;0.008;-0.002;-0.053;-0.05;0.009;0.001;-0.016;-0.064;0.047;-0.052;0.022;-0.032;0.094;-0.024;-0.023;0
